frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
440,1120128,389568,200832,4032,2560,960,343488,101888,76800,57792,1062336,1061376
441,1119616,389504,203264,4096,2496,1024,295872,90752,132608,113984,1005632,1004608
442,1119872,392448,202112,4032,2560,960,298368,90432,128960,110208,1009664,1008704
443,1119744,389760,202432,4032,2560,960,248128,90816,181056,162240,957504,956544
444,1119744,390528,202880,4096,4928,960,246464,91456,178432,159616,960128,959168
445,1119680,388544,203840,4032,4736,960,386816,90176,40576,22080,1097600,1096640
446,1120064,390208,202624,4032,3200,960,238144,90432,190464,171200,948864,947904
447,1679744,389504,192832,3904,1408,960,607104,94528,389504,370752,1308992,1308032
448,2240768,388352,193472,4032,128128,328192,936640,97472,164480,145024,2095744,1767552
449,1119488,389504,193024,4032,2560,896,255936,99008,174528,155648,963840,962944
450,1120000,389888,194240,4096,2560,960,252800,97600,177856,158784,961216,960256
451,1680000,391040,193152,4032,2496,960,743232,97600,247488,228416,1451584,1450624
452,1679360,390272,196864,4096,4096,960,432640,110528,539904,521408,1157952,1156992
453,1120000,390016,198080,4096,4160,896,265792,108928,148032,129344,990656,989760
454,1119680,388352,198208,4096,4160,896,263872,108288,151808,132928,986752,985856
455,1120000,388352,195264,4224,4224,960,265088,101888,160000,141056,978944,977984
456,1119680,386496,198080,4032,4160,960,263872,101056,161024,142080,977600,976640
457,1120000,387968,194368,4096,4416,896,287488,101440,139328,120256,999744,998848
458,1119744,387712,196160,4032,4864,1024,266432,101376,158144,139136,980608,979584
459,1119424,388416,193024,4032,4736,896,252544,100544,175232,156608,962816,961920
460,1120064,388608,197568,3968,3776,896,270208,109376,145664,126784,993280,992384
461,1119808,390272,193920,4160,2560,896,256448,102784,168768,149952,969856,968960
462,1680384,389632,196096,4096,3648,327744,251264,102656,405248,386048,1294336,966592
463,1119424,386112,194560,3968,4864,1024,252096,103424,173376,154240,965184,964160
464,1119488,386752,194304,3968,3200,1024,252608,103552,174080,155584,963904,962880
465,1119872,387968,193408,3968,1344,960,249856,102784,179584,160960,958912,957952
466,1120128,385280,193280,3968,1344,70208,263168,106752,96128,77120,1043008,972800
467,1119232,389632,200128,3968,1472,960,252608,103488,166976,148928,970304,969344
468,1120128,386816,195712,3904,126208,960,254016,89856,62656,43776,1076352,1075392
469,1119808,391104,195136,4032,1408,1024,250304,90368,186432,167936,951872,950848
470,1119872,387456,194880,4032,1408,960,248000,91328,191808,173312,946560,945600
471,1119616,389184,193664,4160,1408,960,269312,90944,169984,151808,967808,966848
472,1120000,386752,195008,4096,1408,960,385856,90816,55104,36544,1083456,1082496
473,1119872,385728,195648,4032,1344,960,237568,90880,203712,185088,934784,933824
474,1119616,391040,194368,4032,1280,1024,237248,90688,199936,181568,938048,937024
475,1119936,387328,193280,4160,1344,896,239808,90816,202304,183552,936384,935488
476,1120384,387392,193920,4032,1408,896,242240,91264,199232,180032,940352,939456
477,1679936,388864,193536,4032,1472,327232,239296,90496,435008,415808,1264128,936896
478,1119168,386944,194048,4096,1344,960,236096,90816,204864,186368,932800,931840
479,1119872,387328,195136,4032,1344,960,413312,91136,26624,8000,1111872,1110912
480,1119808,388224,192832,4096,1408,960,256384,89792,186112,167616,952192,951232
481,1119552,389184,193792,4096,1472,960,277184,91072,161792,143552,976000,975040
482,2800768,388544,195328,4160,2560,70720,1459456,104512,575488,556352,2244416,2173696
483,1119488,389952,195136,4032,2752,960,191872,107712,227072,208832,910656,909696
484,1120064,389312,193728,4032,2688,960,161024,108672,259648,241152,878912,877952
485,1119488,387776,196352,4096,2560,896,166144,113344,248320,229952,889536,888640
486,1119936,386368,195264,4096,2560,896,160448,114688,255616,236800,883136,882240
487,1120128,391360,192192,4096,2560,960,304960,115456,108544,89536,1030592,1029632
488,1679808,389184,193536,4224,127744,896,282240,109440,572544,553920,1125888,1124992
489,1119872,387648,194432,4096,2560,896,288128,107328,134784,116288,1003584,1002688
490,1680576,389952,195520,4096,2624,326976,284096,106880,370432,350976,1329600,1002624
491,1118912,386048,195008,4096,2560,960,296896,91008,142336,123648,995264,994304
492,1120448,389120,194816,4096,2624,1024,305344,90560,132864,113856,1006592,1005568
493,1119296,387328,193728,4160,2560,960,300800,90752,139008,120512,998784,997824
494,1119680,389504,195456,4096,2496,960,304128,89408,133632,115072,1004608,1003648
495,1120128,388544,195328,4096,2624,896,302592,90624,135424,116672,1003456,1002560
496,1119808,390976,193920,4096,2624,70720,305536,92608,59328,40128,1079680,1008960
497,1119424,389056,196672,4096,2688,960,307712,90496,127744,109440,1009984,1009024
498,1680320,390144,195776,4096,2560,960,563392,90112,433280,414528,1265792,1264832
499,1119936,386880,194496,4032,2624,960,304192,90304,136448,117568,1002368,1001408
500,1119488,389312,193984,4032,2624,960,306176,90688,131712,113088,1006400,1005440
501,1119872,387584,197120,4096,2560,960,265088,91328,171136,152128,967744,966784
502,1119872,391296,193664,4160,2624,896,395648,90560,41024,22016,1097856,1096960
503,1119424,390144,193344,4160,2560,960,252416,89792,186048,167360,952064,951104
504,1119936,388480,194880,4032,2688,960,253376,90240,185280,166592,953344,952384
505,1680512,389312,194816,4096,2496,325952,253696,90752,419392,400000,1280512,954560
506,1119744,389056,195776,4032,2560,896,411136,91264,25024,5888,1113856,1112960
507,1119360,388672,196736,3840,2624,960,231936,94848,199744,181184,938176,937216
508,1119808,389568,192448,4096,93248,960,240896,90880,107712,89088,1030720,1029760
509,1120128,389248,194432,4032,2624,896,259072,91008,178816,159936,960192,959296
510,1119552,393216,193280,4032,4992,896,276608,89984,156544,137600,981952,981056
511,1120256,394304,193408,3904,4864,960,277568,90496,154752,135360,984896,983936
512,1119808,390272,196736,4032,2560,960,401984,90880,32384,13312,1106496,1105536
513,1119552,390592,197184,4096,2560,960,264576,91264,168320,149312,970240,969280
514,1119744,388928,192960,4032,4992,960,264448,90432,172992,153984,965760,964800
515,1120128,391168,194496,4096,4992,960,411520,91008,21888,3008,1117120,1116160
516,1119808,387392,196800,4032,1408,896,342656,90496,96128,77056,1042752,1041856
517,1119552,389632,193408,4032,1408,960,343680,90304,96128,77696,1041856,1040896
518,1119872,390528,195712,4032,1408,960,348096,90240,88896,70080,1049792,1048832
519,1119488,390016,196096,4032,1344,960,336896,90688,99456,80896,1038592,1037632
520,1680896,390144,192704,4160,1408,326400,334400,90880,340800,321280,1359616,1033216
521,1118976,386624,193024,4096,1408,960,332864,90304,109696,90880,1028096,1027136
522,1120128,386624,194560,4032,1408,1024,334848,91520,106112,87552,1032576,1031552
523,1119744,390592,195904,4032,1408,896,331968,90752,104192,85504,1034240,1033344
524,1119872,388544,193024,4160,1408,960,333632,90176,107968,89344,1030528,1029568
525,1119872,390656,196288,4032,1280,896,336704,90688,99328,80320,1039552,1038656
526,1120064,386560,193408,3968,1408,70144,337088,94272,33216,13888,1106176,1036032
527,1119104,388992,196736,4032,1408,896,334208,89536,103296,84928,1034176,1033280
528,1120320,391104,196096,3968,1408,896,335616,91584,99648,80448,1039872,1038976
529,1119040,393792,193408,3968,1408,896,336896,90688,97984,79936,1039104,1038208
530,1680704,388672,195968,4160,92608,960,345088,90688,562560,543360,1137344,1136384
531,1119872,388032,192384,4096,1408,960,326336,90688,115968,96960,1022912,1021952
532,1119232,388928,193536,3904,1472,960,331904,90368,108160,89856,1029376,1028416
533,1119936,388864,196544,4032,1408,896,334080,90112,104000,85440,1034496,1033600
